Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Caden	M	0	0	0	0	0	0	0	0	0	0	0	69	1122	972	850	767	679	561	511	535	505	443	0	0	0	0	0	0	0	0	0	0	0	627	95	103	119	136	151	182	198	192	202	223
Cadence	F	0	0	0	0	0	0	0	0	0	0	0	0	380	352	345	289	276	263	251	241	220	195	0	0	0	0	0	0	0	0	0	0	0	0	212	222	227	279	289	310	335	341	376	421
Cael	M	0	0	0	0	0	0	0	0	0	0	0	0	61	65	62	69	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	819	845	803	954	0	0	0	0	0
Caesar	M	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caiden	M	0	0	0	0	0	0	0	0	0	0	0	0	330	321	323	309	301	329	339	324	287	270	0	0	0	0	0	0	0	0	0	0	0	0	250	260	265	286	296	271	272	285	312	327
Cailyn	F	0	0	0	0	0	0	0	0	0	0	0	0	94	98	80	77	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	712	835	864	979	0	0	0	0	0
Cain	M	0	0	0	0	0	0	0	0	0	0	0	0	0	48	51	65	73	73	82	82	82	68	0	0	0	0	0	0	0	0	0	0	0	0	0	987	958	841	780	778	727	743	750	840
Cairo	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	68	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	841	646
Caitlin	F	0	0	0	0	0	0	0	0	0	0	892	1224	344	296	235	203	188	167	157	119	0	0	0	0	0	0	0	0	0	0	0	0	87	70	235	266	340	392	421	465	496	609	0	0
Caitlyn	F	0	0	0	0	0	0	0	0	0	0	114	549	350	310	267	235	208	192	173	124	0	0	0	0	0	0	0	0	0	0	0	0	488	148	227	255	300	339	381	405	460	599	0	0
Cal	M	45	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cale	M	0	0	0	0	0	0	0	0	0	13	37	32	93	89	84	66	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	762	884	623	668	689	831	906	0	0	0	0	0
Caleb	M	79	37	34	15	0	0	0	0	0	119	547	1645	2479	2645	2605	2521	2510	2430	2304	2203	2014	1846	418	718	787	993	0	0	0	0	0	398	133	56	34	31	33	32	32	33	35	37	44	50
Caleigh	F	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0	0	0	0	0
Cali	F	0	0	0	0	0	0	0	0	0	0	0	0	174	177	189	205	239	286	416	359	304	292	0	0	0	0	0	0	0	0	0	0	0	0	426	435	416	390	330	281	201	232	263	288
Calista	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calla	F	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callan	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	67	73	96	92	84	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	823	779	666	687	730	681
Calleigh	F	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0	0	0
Callen	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	106	114	109	140	139	138	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	593	570	592	502	518	535	570
Callie	F	530	444	339	176	119	84	48	25	0	47	134	235	345	321	329	373	358	359	441	421	390	427	146	182	211	308	391	478	629	909	0	828	437	298	233	249	237	212	222	226	186	196	212	188
Callie	M	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calliope	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	813
Callum	M	0	0	0	0	0	0	0	0	0	0	0	0	48	58	62	64	69	72	82	93	89	111	0	0	0	0	0	0	0	0	0	0	0	0	976	871	851	847	809	789	728	683	701	611
Calvin	M	536	456	449	419	1112	666	647	759	569	412	418	418	380	380	412	431	496	523	584	611	708	701	115	143	158	160	80	124	124	110	149	179	170	188	228	231	215	209	190	195	182	171	148	145
Cambria	F	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	68	70	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993	0	949	922	0	997	0	0	0
Camden	M	0	0	0	0	0	0	0	0	0	0	0	60	455	475	527	608	657	989	976	946	845	691	0	0	0	0	0	0	0	0	0	0	0	676	204	194	179	160	156	99	100	104	124	148
Camdyn	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	59	63	61	70	67	71	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	883	850	872	810	837	817	922
Cameron	F	0	0	0	0	0	0	0	0	0	0	56	166	247	219	189	178	135	130	132	148	148	150	0	0	0	0	0	0	0	0	0	0	763	398	320	356	415	442	554	566	578	530	529	535
Cameron	M	15	0	0	0	17	0	19	45	95	239	652	2015	1948	1840	1795	1894	1861	1742	1767	1694	1732	1544	983	0	0	0	967	0	840	554	417	255	117	46	53	59	60	53	54	59	53	56	57	60
Camila	F	0	0	0	0	0	0	0	0	0	0	0	0	907	905	1076	1260	1215	1311	1309	1327	1536	1759	0	0	0	0	0	0	0	0	0	0	0	0	83	79	61	48	48	39	41	43	32	23
Camilla	F	47	53	54	57	51	48	47	34	41	0	0	0	114	133	146	164	180	195	223	219	247	273	590	580	602	600	644	649	643	812	802	0	0	0	634	551	508	458	437	399	364	374	342	308
Camille	F	44	62	75	76	64	93	149	121	136	169	185	261	260	278	301	333	339	335	323	329	331	327	607	522	492	500	568	461	341	401	419	390	350	267	300	287	273	240	238	243	250	246	243	251
Camilo	M	0	0	0	0	0	0	0	0	0	0	0	0	0	56	48	49	65	50	55	55	52	58	0	0	0	0	0	0	0	0	0	0	0	0	0	898	996	996	838	995	952	951	985	932
Cammie	F	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campbell	F	0	0	0	0	0	0	0	0	0	0	0	0	91	96	90	69	77	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	727	758	936	872	910	0	0	0	0
Campbell	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camren	M	0	0	0	0	0	0	0	0	0	0	0	0	84	84	78	87	77	59	54	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	696	723	683	750	890	966	994	0	0
Camron	M	0	0	0	0	0	0	0	0	0	0	0	64	149	148	121	125	102	77	72	66	61	53	0	0	0	0	0	0	0	0	0	0	0	654	445	450	530	517	610	750	795	846	894	991
Camryn	F	0	0	0	0	0	0	0	0	0	0	0	77	334	326	293	269	232	206	204	207	207	196	0	0	0	0	0	0	0	0	0	0	0	693	244	246	281	294	346	380	398	395	407	420
Camryn	M	0	0	0	0	0	0	0	0	0	0	0	0	54	70	61	66	56	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	778	859	832	920	967	0	0	0	0
Canaan	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	97	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	667	742
Candace	F	0	0	0	0	0	0	219	354	256	377	669	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	217	290	204	116	241	0	0	0	0	0	0	0	0	0	0
Candi	F	0	0	0	0	0	0	0	0	41	62	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	713	833	0	0	0	0	0	0	0	0	0	0	0
Candice	F	0	0	0	0	0	0	77	150	91	372	793	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	353	516	211	97	283	0	0	0	0	0	0	0	0	0	0
Candida	F	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	0	0	0	0	0	0	0	0	0	0	0	0
Candis	F	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	863	0	0	0	0	0	0	0	0	0	0	0
Candy	F	0	0	0	0	0	0	61	142	196	205	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	368	336	340	632	0	0	0	0	0	0	0	0	0	0	0
Cannon	M	0	0	0	0	0	0	0	0	0	0	0	0	91	96	103	125	124	123	127	118	135	131	0	0	0	0	0	0	0	0	0	0	0	0	631	623	599	518	529	547	541	588	543	549
Capitola	F	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cara	F	22	0	0	0	0	0	0	28	150	310	353	246	160	160	114	118	102	114	106	97	89	83	833	0	0	0	0	0	0	874	397	253	205	284	463	467	642	615	699	621	672	727	807	856
Caren	F	0	0	0	0	0	0	38	67	64	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	552	640	915	0	0	0	0	0	0	0	0	0	0	0	0
Carey	F	0	0	0	0	0	0	0	24	53	167	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	712	392	899	0	0	0	0	0	0	0	0	0	0	0
Carey	M	62	63	55	38	32	37	53	91	86	83	43	0	0	0	0	0	0	0	0	0	0	0	486	516	596	721	779	683	505	382	442	487	703	0	0	0	0	0	0	0	0	0	0	0
Cari	F	0	0	0	0	0	0	0	0	71	132	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	455	626	0	0	0	0	0	0	0	0	0	0	0
Carie	F	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	0
Carin	F	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0
Carina	F	0	0	0	0	0	0	0	0	0	0	69	130	72	76	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	483	901	870	948	0	0	0	0	0	0	0
Carisa	F	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0	0	0	0	0	0	0
Carissa	F	0	0	0	0	0	0	0	0	0	108	203	220	96	79	80	71	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	326	313	727	858	829	920	956	0	0	0	0	0
Carl	M	2264	3333	3427	3557	3132	3137	2447	1957	1581	936	675	365	131	124	109	107	122	112	109	114	112	107	33	23	26	25	27	29	36	49	57	90	115	204	490	523	571	591	541	580	610	600	604	627
Carla	F	0	0	0	0	15	100	312	731	1241	799	384	209	125	106	91	93	93	76	79	80	82	71	0	0	0	0	978	438	225	138	79	118	193	337	584	665	754	747	753	856	866	873	863	956
Carlee	F	0	0	0	0	0	0	0	0	0	0	0	71	101	112	90	94	92	93	83	92	80	67	0	0	0	0	0	0	0	0	0	0	0	729	701	638	755	743	763	740	830	768	888	995
Carleen	F	0	0	0	0	0	25	35	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	775	778	853	0	0	0	0	0	0	0	0	0	0	0	0	0
Carleigh	F	0	0	0	0	0	0	0	0	0	0	0	0	63	0	69	67	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	0	925	959	970	0	0	0	0	0
Carlene	F	0	0	0	0	31	101	99	82	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	437	436	503	652	0	0	0	0	0	0	0	0	0	0	0	0	0
Carleton	M	18	37	31	43	37	29	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	717	822	673	700	787	821	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carley	F	0	0	0	0	0	0	0	0	0	0	42	147	113	95	90	74	69	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	445	637	734	756	891	934	867	0	0	0	0
Carli	F	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0
Carlie	F	0	0	0	0	0	0	0	0	0	0	0	106	107	97	87	78	74	75	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	673	717	781	849	895	868	967	0	0	0
Carlo	M	0	0	0	63	63	45	24	22	33	58	41	37	46	49	0	0	0	0	0	0	0	0	0	0	0	530	521	598	769	777	686	583	721	851	992	978	0	0	0	0	0	0	0	0
Carlos	M	91	104	170	155	215	261	273	392	581	1100	1098	1368	1426	1304	1146	1057	1012	935	857	858	810	797	385	372	288	316	259	218	204	177	144	76	76	70	73	79	90	91	95	105	117	117	130	132
Carlotta	F	21	0	0	0	0	0	36	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	751	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carlton	M	82	107	157	208	211	236	180	197	182	144	106	88	0	0	0	0	0	0	0	0	0	0	407	365	300	255	261	238	270	248	293	357	434	546	0	0	0	0	0	0	0	0	0	0
Carly	F	0	0	0	0	0	0	0	0	0	86	331	569	396	363	358	321	281	259	229	212	204	179	0	0	0	0	0	0	0	0	0	582	218	143	197	216	218	251	286	319	357	389	411	455
Carlyle	M	0	0	0	46	36	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	723	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carma	F	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmel	F	0	0	32	46	48	33	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	799	681	661	782	0	996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmela	F	0	58	129	199	214	128	57	43	54	32	0	0	0	0	0	0	0	0	0	0	0	0	0	543	374	288	283	381	582	726	702	925	0	0	0	0	0	0	0	0	0	0	0	0
Carmelita	F	0	0	0	0	20	34	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	772	977	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmella	F	0	19	70	165	188	106	51	36	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	512	320	305	430	616	784	829	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmelo	M	0	0	0	35	33	12	0	13	22	23	0	0	50	63	71	109	112	131	101	88	90	80	0	0	0	777	764	985	0	926	806	883	0	0	941	831	777	580	579	516	650	707	694	757
Carmen	F	49	87	164	236	363	380	352	470	593	532	335	278	308	267	252	231	238	223	213	214	209	201	571	429	324	265	210	211	207	179	166	162	215	247	262	302	314	349	332	358	383	382	403	405
Carmen	M	0	0	48	130	141	107	75	53	43	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	357	322	366	426	508	600	816	0	0	0	0	0	0	0	0	0	0	0	0
Carmine	M	0	0	51	99	95	69	41	30	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	417	413	470	582	670	738	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnell	M	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	960	0	0	0	0	0	0	0	0	0	0	0	0	0
Carol	F	43	82	153	322	908	5224	9616	5529	2915	701	234	124	0	0	0	0	0	0	0	0	0	0	619	443	340	229	116	11	5	16	38	130	281	503	0	0	0	0	0	0	0	0	0	0
Carol	M	0	0	0	43	70	117	66	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	482	348	450	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carolann	F	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carole	F	0	0	0	26	79	1188	1655	411	274	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	492	94	57	193	279	744	0	0	0	0	0	0	0	0	0	0	0	0
Carolee	F	0	0	0	0	0	39	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carolina	F	63	52	59	47	53	48	36	22	46	77	125	245	218	200	205	184	183	179	196	184	196	186	499	587	570	670	626	654	752	934	760	630	462	285	355	387	388	429	431	430	408	430	422	440
Caroline	F	1310	937	675	610	502	481	383	223	434	365	476	919	830	874	836	849	862	1012	1085	1086	1122	1113	82	108	140	153	171	178	195	295	208	215	161	93	94	87	88	87	80	63	58	62	56	55
Carolyn	F	300	292	318	515	900	3085	5983	3080	1953	806	495	321	105	102	93	94	90	87	94	94	89	84	212	220	223	170	119	29	12	25	57	115	156	222	678	689	741	741	771	788	742	752	810	841
Carolyn	M	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carolyne	F	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carolynn	F	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caron	F	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carri	F	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0
Carrie	F	4381	2972	2072	1040	755	556	361	402	808	1990	959	258	0	0	0	0	0	0	0	0	0	0	22	40	56	98	136	165	203	196	132	41	80	269	0	0	0	0	0	0	0	0	0	0
Carrie	M	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carrol	F	0	0	0	0	0	39	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carrol	M	0	0	26	53	66	80	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	597	507	434	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carroll	F	0	0	0	0	14	51	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	626	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carroll	M	126	205	232	278	303	374	238	104	55	27	0	0	0	0	0	0	0	0	0	0	0	0	316	250	239	218	206	178	220	355	537	846	0	0	0	0	0	0	0	0	0	0	0	0
Carsen	M	0	0	0	0	0	0	0	0	0	0	0	0	46	51	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993	959	902	0	0	0	0	0	0	0
Carson	F	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0	0	0	0	0
Carson	M	39	34	49	55	47	44	38	30	22	35	62	247	1207	1209	1273	1244	1161	1152	1154	1192	1245	1229	655	745	633	581	623	608	603	666	805	766	583	282	89	86	80	85	87	90	91	89	81	83
Carter	M	43	55	70	50	40	41	45	40	35	36	44	242	1662	1979	2037	2174	2341	2433	2671	2707	2579	2541	608	547	519	613	674	640	542	586	669	751	690	288	65	50	48	41	36	32	26	24	26	24
Carter	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	89	146	178	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	785	533	454	520
Cary	F	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	0	0
Cary	M	55	51	47	27	19	31	94	136	183	107	47	0	0	0	0	0	0	0	0	0	0	0	532	576	664	877	942	761	376	318	291	427	674	0	0	0	0	0	0	0	0	0	0	0
Caryl	F	0	0	0	0	25	56	49	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	592	627	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caryn	F	0	0	0	0	0	0	0	56	87	91	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	533	566	845	0	0	0	0	0	0	0	0	0	0	0
Casandra	F	0	0	0	0	0	0	0	0	23	67	107	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	677	515	531	0	0	0	0	0	0	0	0	0	0
Case	M	0	0	0	0	0	0	0	0	0	0	0	0	49	60	81	89	134	135	156	132	132	114	0	0	0	0	0	0	0	0	0	0	0	0	956	853	713	664	502	507	466	540	551	601
Casen	M	0	0	0	0	0	0	0	0	0	0	0	0	0	55	59	71	82	88	109	92	103	89	0	0	0	0	0	0	0	0	0	0	0	0	0	905	875	789	719	687	611	685	646	710
Casey	F	0	0	0	0	0	0	0	0	0	257	742	647	159	138	121	118	90	95	89	86	83	76	0	0	0	0	0	0	0	0	0	292	103	122	466	528	602	620	772	729	786	814	857	916
Casey	M	0	0	29	30	0	0	16	66	123	566	954	727	230	199	176	161	140	141	131	130	130	141	0	0	839	844	0	0	888	454	360	142	86	121	336	366	398	423	487	490	529	551	560	524
Cash	M	0	0	0	0	0	0	0	0	0	0	0	0	326	336	329	331	331	376	332	343	365	328	0	0	0	0	0	0	0	0	0	0	0	0	253	250	261	264	270	243	274	267	253	285
Casie	F	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0
Casimer	M	0	0	17	56	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	577	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casimir	M	0	0	32	94	63	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	434	523	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cason	M	0	0	0	0	0	0	0	0	0	0	0	0	106	118	136	129	148	175	182	165	165	149	0	0	0	0	0	0	0	0	0	0	0	0	571	541	478	507	464	424	420	461	469	503
Casper	M	84	75	50	52	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	451	624	601	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassandra	F	0	0	0	0	0	0	85	191	434	566	1193	1257	278	243	244	195	188	169	149	153	137	129	0	0	0	0	0	0	472	311	207	152	62	67	284	327	328	411	422	457	516	511	570	606
Cassidy	F	0	0	0	0	0	0	0	0	0	0	85	516	350	329	321	283	288	323	326	310	283	259	0	0	0	0	0	0	0	0	0	0	608	153	228	244	248	283	280	250	248	257	288	327
Cassidy	M	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	0	0	0
Cassie	F	170	165	128	82	55	35	26	27	40	129	419	236	71	67	0	0	0	0	0	0	0	0	279	315	375	476	613	764	860	884	807	461	179	297	908	964	0	0	0	0	0	0	0	0
Cassius	M	36	0	0	0	0	0	0	0	0	0	0	0	50	47	0	60	55	76	86	101	113	120	686	0	0	0	0	0	0	0	0	0	0	0	945	998	0	876	932	756	704	646	602	585
Cassondra	F	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	0	0	0	0	0	0	0	0	0	0
Castiel	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	64	69	80	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	860	818	763	795
Cataleya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	175	173	182	154	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	444	461	434	510	486
Catalina	F	0	0	0	0	32	19	0	0	0	0	0	56	99	122	104	111	162	198	223	252	261	317	0	0	0	0	802	938	0	0	0	0	0	823	707	597	683	646	479	395	365	325	314	260
Catharine	F	167	167	176	120	65	37	33	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	313	315	379	560	741	786	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catherine	F	3121	3019	3472	3791	3116	2219	2042	2702	1991	1306	1126	1017	542	453	401	487	480	471	485	451	422	410	42	38	28	20	27	39	45	32	56	73	67	86	149	177	193	161	168	171	170	179	195	198
Cathey	F	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cathie	F	0	0	0	0	0	0	44	62	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	575	982	0	0	0	0	0	0	0	0	0	0	0	0	0
Cathleen	F	0	0	0	0	21	25	116	235	215	103	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	889	402	282	316	529	898	0	0	0	0	0	0	0	0	0	0	0
Cathrine	F	57	43	38	37	33	0	0	35	25	0	0	0	0	0	0	0	0	0	0	0	0	0	529	649	739	753	792	0	0	798	940	0	0	0	0	0	0	0	0	0	0	0	0	0
Cathryn	F	27	36	38	57	47	35	54	81	52	0	0	0	0	0	0	0	0	0	0	0	0	0	760	722	738	604	668	762	593	507	720	0	0	0	0	0	0	0	0	0	0	0	0	0
Cathy	F	0	0	0	0	0	19	512	2054	1339	386	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	167	52	76	199	548	0	0	0	0	0	0	0	0	0	0	0
Catina	F	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0
Catrina	F	0	0	0	0	0	0	0	0	0	101	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	613	0	0	0	0	0	0	0	0	0	0	0
