Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Michelle	M	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	810	0	0	0	0	0	0	0	0	0	0	0	0
Mickey	F	0	0	0	0	33	36	46	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	761	653	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mickey	M	0	0	0	0	32	82	151	165	134	95	48	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	430	299	280	342	450	669	944	0	0	0	0	0	0	0	0	0	0
Mickie	F	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micky	M	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Migdalia	F	0	0	0	0	0	0	0	20	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	790	0	0	0	0	0	0	0	0	0	0	0	0	0
Miguel	M	36	50	67	57	83	78	84	153	254	485	676	1017	1043	1010	863	800	742	735	690	644	634	590	680	582	535	570	445	448	403	293	243	163	114	94	101	99	113	126	131	133	146	161	162	176
Mikael	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0
Mikaela	F	0	0	0	0	0	0	0	0	0	0	0	172	134	144	179	170	125	115	134	121	123	104	0	0	0	0	0	0	0	0	0	0	0	383	540	508	431	452	592	618	572	603	616	716
Mikala	F	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	908	0	0	0	0	0	0	0	0	0	0
Mikalah	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mikayla	F	0	0	0	0	0	0	0	0	0	0	0	468	457	442	429	384	338	304	259	238	208	206	0	0	0	0	0	0	0	0	0	0	0	169	170	179	179	206	240	268	320	349	404	392
Mike	M	337	343	446	583	407	378	1166	1202	1859	307	92	82	69	63	60	61	62	60	54	0	0	57	171	187	159	130	167	176	86	80	49	218	472	574	756	830	867	871	865	884	977	0	0	949
Mikel	M	0	0	0	0	0	0	0	37	30	38	38	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	717	738	747	807	0	0	0	0	0	0	0	0	0	0
Mila	F	0	0	0	0	0	0	0	0	0	0	0	0	130	161	220	454	668	936	1016	1189	1222	1548	0	0	0	0	0	0	0	0	0	0	0	0	554	464	364	174	115	78	72	53	48	30
Milagros	F	0	0	0	0	0	0	0	24	41	0	0	0	96	89	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	913	798	0	0	0	731	770	978	987	0	0	0	0	0	0
Milan	F	0	0	0	0	0	0	0	0	0	0	0	0	0	88	109	119	97	120	107	102	96	99	0	0	0	0	0	0	0	0	0	0	0	0	0	775	664	608	722	598	670	696	752	739
Milan	M	0	0	0	34	39	29	15	9	0	0	0	0	0	0	0	0	0	124	188	182	174	169	0	0	0	798	677	792	909	997	0	0	0	0	0	0	0	0	0	543	412	424	449	463
Milana	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	68	90	92	105	101	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	948	769	760	680	715	692
